 Gift $ ,X,Y
" $5,000 ",-122.030684,47.669552
" $5,000 ",-72.731859,41.7326647
" $7,500 ",-73.4949455,41.151727
" $26,000 ",-72.904631,41.513846
" $10,000 ",-73.4258468,41.0937757
" $21,000 ",-73.4949455,41.151727
" $15,000 ",-72.8169616,41.4649874
" $10,000 ",-73.355186,41.141749
" $5,000 ",-75.213883,40.109536
" $50,000 ",-72.6073212,41.2911509
" $5,000 ",-73.262088,41.1536759
" $7,500 ",-73.262088,41.1536759
" $10,000 ",-71.969643,41.361628
" $20,000 ",-73.4689641,41.4103665
" $5,000 ",-71.0625494,42.3579557
" $7,000 ",-71.224389,42.451423
" $10,000 ",-81.381904,30.194674
" $10,000 ",-71.157991,42.654745
" $10,000 ",-80.1430883,27.074122
" $50,000 ",-70.9438049,42.0293596
" $11,000 ",-81.792193,26.29042
" $5,000 ",-77.041397,38.906342
" $8,000 ",-71.1319724,42.3371836
" $50,000 ",-77.050784,38.902902
" $25,000 ",-84.3376884,33.9843186
" $11,295 ",-74.2153708,40.8141972
" $10,000 ",-84.3804849,33.8387356
" $15,000 ",-77.0936542,35.0970114
" $5,500 ",-77.085343,38.97817
" $12,018 ",-84.4246767,33.85535
" $5,000 ",-84.4644429,33.8777138
" $5,000 ",-84.4246767,33.85535
" $9,404 ",-84.3868322,33.7932011
" $5,000 ",-80.1272002,26.1032402
" $110,000 ",-84.3804849,33.8387356
" $15,000 ",-84.3804849,33.8387356
" $12,700 ",-89.9067459,35.1161198
" $10,000 ",-84.4246767,33.85535
" $5,000 ",-84.335817,33.871144
" $10,000 ",-84.3804849,33.8387356
" $17,114 ",-84.352313,33.783187
" $5,000 ",-84.4254238,34.4560138
" $10,513 ",-84.2216524,33.8498578
" $20,000 ",-83.5347669,34.6633636
" $5,000 ",-84.3722182,33.9302201
" $14,319 ",-80.760199,35.117729
" $20,000 ",-86.3550403,30.3799074
" $7,000 ",-83.709297,33.996806
" $30,000 ",-84.4644429,33.8777138
" $5,000 ",-84.3376884,33.9843186
" $8,000 ",-82.1434385,33.544964
" $5,000 ",-84.4698588,34.0035636
" $5,000 ",-84.3641261,33.8491569
" $10,000 ",-84.1238516,33.816289
" $150,000 ",-95.9632618,36.0947137
" $6,000 ",-83.9006857,34.3378581
" $15,000 ",-84.2980461,34.0697004
" $10,000 ",-84.2775478,34.1252222
" $5,125 ",-81.04216,31.925567
" $10,125 ",-84.3868322,33.7932011
" $13,000 ",-84.1238516,33.816289
" $9,000 ",-84.3821699,34.0440841
" $8,000 ",-84.335817,33.871144
" $5,000 ",-80.8768695,32.2558298
" $20,000 ",-86.451882,31.343885
" $7,000 ",-104.9602553,39.5820082
" $7,600 ",-80.231567,27.247396
" $30,000 ",-111.513112,40.66358
" $8,000 ",-81.0026274,29.2088427
" $5,000 ",-80.1151079,26.9217214
" $10,000 ",-81.4207582,28.7066967
" $10,000 ",-81.6809416,26.0504569
" $25,000 ",-86.3550403,30.3799074
" $15,000 ",-81.3537483,28.5986859
" $7,500 ",-81.3291778,28.5653241
" $11,000 ",-81.9003075,26.555196
" $9,000 ",-87.1903488,30.4907639
" $10,000 ",-84.2521279,30.5516861
" $5,000 ",-84.165114,30.548658
" $10,250 ",-81.994913,28.916275
" $12,000 ",-80.1430883,27.074122
" $5,000 ",-81.5521052,30.2207957
" $7,500 ",-84.263015,30.4328
" $11,100 ",-89.6223,35.047
" $10,000 ",-80.7624397,34.9553681
" $10,000 ",-77.086392,38.938106
" $13,303 ",-71.166001,42.3169233
" $7,000 ",-82.8156798,34.6849705
" $10,000 ",-73.484077,41.076784
" $6,000 ",-117.7184701,34.1049088
" $21,000 ",-86.106773,39.74102
" $23,000 ",-98.4567316,29.4904148
" $5,000 ",-95.587787,30.087798
" $45,000 ",-95.466708,29.7460967
" $10,000 ",-95.444891,29.952658
" $5,000 ",-95.611121,29.746484
" $10,000 ",-95.466708,29.7460967
" $5,000 ",-80.169044,26.384089
" $5,025 ",-96.9204131,29.6819091
" $15,000 ",-97.548915,32.908797
" $8,000 ",-118.471427,34.064021
" $25,250 ",-97.7530812,32.2268234
" $8,500 ",-97.148347,32.953503
" $5,000 ",-96.831228,32.846793
" $15,000 ",-96.831228,32.846793
" $22,136 ",-96.8703556,32.8664488
" $10,000 ",-96.799153,32.787023
" $10,000 ",-80.3682873,27.6857609
" $5,000 ",-71.3691788,42.2308617
" $17,000 ",-71.0652851,42.3612391
" $5,000 ",-79.9580172,32.7362749
" $15,000 ",-71.1545961,42.4195534
" $100,000 ",-111.9176153,33.8229242
" $70,000 ",-112.2824475,33.7239476
" $5,024 ",-112.038872,33.509677
" $20,000 ",-111.962377,33.549735
" $10,000 ",-121.9457099,36.5929212
" $8,000 ",-97.551548,35.539019
" $90,000 ",-90.3231704,38.6327585
" $10,000 ",-81.5393051,39.3221183
" $10,000 ",-95.4023494,29.7531601
" $15,536 ",-80.135821,26.1207425
" $20,000 ",-80.170164,26.1881129
" $10,000 ",-84.568028,33.38984
" $5,000 ",-96.8316328,33.1258525
" $6,000 ",-96.73259,33.055426
" $5,000 ",-97.1724042,33.1012297
" $8,000 ",-97.164659,32.66123
" $12,000 ",-96.793753,32.833855
" $10,000 ",-96.831228,32.846793
" $10,000 ",-97.0624784,33.0343568
" $6,000 ",-97.1491047,32.8929702
" $45,000 ",-96.794661,32.903464
" $15,000 ",-86.7859195,36.0047052
" $5,000 ",-91.2654156,43.9702135
" $5,000 ",-85.598291,38.345719
" $60,000 ",-80.1430883,27.074122
" $10,000 ",-93.366912,44.8716229
" $10,000 ",-84.744939,42.749654
" $70,000 ",-87.7541191,42.1120852
" $10,000 ",-86.9526148,36.0680277
" $12,000 ",-87.6915538,42.0521897
" $25,100 ",-73.950716,40.780762
" $5,000 ",-84.478924,42.745195
" $10,000 ",-111.8203772,40.6285947
" $50,200 ",-74.046304,40.135136
" $6,000 ",-93.178551,44.9076692
" $5,125 ",-157.8439675,21.2964565
" $8,000 ",-74.2716393,40.2444281
" $50,000 ",-93.178551,44.9076692
" $5,000 ",-87.948795,43.224962
" $16,000 ",-75.2004857,40.5503393
" $50,000 ",-119.765539,34.441324
" $11,500 ",-75.27513,39.994532
" $12,000 ",-87.6227519,41.89451
" $5,000 ",-75.210498,40.170307
" $107,723 ",-86.892139,35.97722
" $20,984 ",-75.005676,40.295374
" $10,000 ",-84.260122,34.028176
" $83,777 ",-86.8648602,36.1160445
" $5,000 ",-77.7969266,34.2068358
" $10,500 ",-74.5302456,41.0986399
" $5,000 ",-81.8490728,41.13818
" $10,100 ",-74.5716435,40.7194782
" $5,050 ",-117.995853,33.755013
" $10,000 ",-76.5955616,39.770216
" $10,513 ",-76.901522,41.175568
" $5,000 ",-77.7766287,40.7773286
" $5,000 ",-76.756719,39.9771343
" $9,600 ",-74.9420981,40.2434223
" $5,000 ",-75.1710313,39.9672616
" $11,000 ",-78.1598786,38.7134263
" $50,000 ",-75.313686,40.011285
" $20,000 ",-76.9822651,39.7977272
" $19,000 ",-77.2256056,39.8309922
" $5,000 ",-76.9037688,40.9602193
" $7,500 ",-75.3806563,40.595692
" $10,000 ",-66.1116853,18.3614791
" $10,000 ",-122.362413,37.582058
" $5,000 ",-74.4851861,40.7943684
" $20,000 ",-71.5986559,43.7315726
" $6,000 ",-75.398914,40.054068
" $50,000 ",-75.3492686,40.0375368
" $10,000 ",-84.182823,30.42314
" $5,540 ",-68.571425,44.265783
" $19,874 ",-75.645246,40.092495
" $13,000 ",-74.5569884,40.6002611
" $12,000 ",-74.6223721,40.5862263
" $5,000 ",-97.4631192,37.7755263
" $10,000 ",-74.947068,39.96812
" $10,000 ",-111.879041,40.775735
" $15,000 ",-85.646145,38.25538
" $10,000 ",-74.0048197,40.733293
" $8,000 ",-76.6185085,40.9648003
" $6,000 ",-84.4566105,33.4081119
" $15,000 ",-74.619264,40.292131
" $12,000 ",-87.6864906,41.8794049
" $5,000 ",-95.3123872,32.2663811
" $9,200 ",-76.0146457,43.0273919
" $6,500 ",-76.302849,43.233293
" $5,000 ",-71.681917,44.286611
" $10,000 ",-86.421699,42.108735
" $30,000 ",-121.280471,38.604987
" $8,600 ",-82.3876594,27.102783
" $7,000 ",-71.344738,43.005412
" $17,500 ",-82.518133,27.309692
" $15,000 ",-75.9280673,42.1242647
" $5,256 ",-71.5361472,43.2081812
" $5,000 ",-77.400648,42.617892
" $15,000 ",-77.4562939,43.2178439
" $10,000 ",-76.466179,37.555726
" $5,000 ",-76.8161621,39.4663822
" $5,000 ",-70.3527255,43.590133
" $50,000 ",-89.7994169,35.0892223
" $55,000 ",-121.6563753,36.7562579
" $5,000 ",-84.9887238,33.0290997
" $10,000 ",-82.5426978,27.2645496
" $13,000 ",-78.761384,41.4212276
" $12,700 ",-83.1485924,40.0928952
" $25,191 ",-74.2153708,40.8141972
" $7,000 ",-73.0769633,41.238013
" $10,000 ",-72.8455403,41.7956973
" $5,500 ",-80.02117,37.229182
" $6,000 ",-80.2762,25.6787
" $15,250 ",-96.799153,32.787023
" $10,000 ",-84.0047055,35.9271982
" $31,750 ",-96.7481299,32.8248505
" $20,000 ",-80.273295,26.318152
" $10,000 ",-80.1899616,25.7688751
" $5,125 ",-73.8353375,42.6786988
" $50,000 ",-80.204125,25.758078
" $20,000 ",-79.7565337,32.8010583
" $5,125 ",-96.4007055,30.1820137
" $10,600 ",-81.4229941,41.1035333
" $6,902 ",-71.253422,42.144285
" $5,125 ",-77.3515658,38.9803258
" $6,125 ",-104.6864455,39.0211758
" $10,000 ",-86.7620101,33.4851675
" $5,000 ",-84.265886,39.26784
" $6,025 ",-84.4180422,39.3445298
" $9,000 ",-84.4180422,39.3445298
" $5,000 ",-84.445688,39.022407
" $100,000 ",-81.792193,26.29042
" $5,000 ",-84.3193404,39.2809861
" $5,000 ",-84.3505013,39.1843478
" $8,000 ",-84.3291069,39.1145406
" $10,000 ",-84.3505013,39.1843478
" $20,000 ",-82.8045339,40.085663
" $68,000 ",-84.159569,39.684523
" $10,000 ",-82.9263791,39.9557303
" $8,000 ",-83.0547583,40.1046549
" $10,000 ",-81.72038,25.940627
" $5,000 ",-81.765936,26.199926
" $7,000 ",-82.8731474,39.9698513
" $5,438 ",-81.2081997,28.6491005
" $13,500 ",-83.068564,40.054616
" $11,325 ",-83.1485924,40.0928952
" $30,400 ",-84.321784,33.829029
" $42,500 ",-83.068564,40.054616
" $161,295 ",-83.0245654,40.0519285
" $10,000 ",-84.3804849,33.8387356
" $30,000 ",-84.4246767,33.85535
" $30,000 ",-83.1338757,40.1106768
" $5,000 ",-96.839623,32.752367
" $6,063 ",-81.9236021,41.4488583
" $15,000 ",-81.7945852,41.4831286
" $12,000 ",-81.5823417,41.4697572
" $10,211 ",-81.5823417,41.4697572
" $22,500 ",-81.607159,41.507351
" $155,000 ",-81.404482,41.5193769
